timestamp,temperature,humidity,precipitation,uv_index,pressure,current_weather
2026-03-04T19:38:42.277728,30.5,43.0,0.0,8.2,1013.5,Model not loaded
2026-03-04T19:38:44.058663,30.4,43.5,0.0,8.3,1012.25,Model not loaded
2026-03-04T19:38:46.060527,30.4,43.83,0.0,8.07,1012.0,Model not loaded
2026-03-04T19:38:48.064881,30.42,44.12,0.0,8.05,1012.25,Model not loaded
2026-03-04T19:38:50.065411,30.26,44.3,0.0,7.96,1012.2,Model not loaded
2026-03-04T19:38:52.067119,30.18,44.9,0.0,8.0,1011.6,Model not loaded
2026-03-04T19:38:54.069657,30.1,45.5,0.0,8.0,1011.7,Model not loaded
2026-03-04T19:38:56.071956,30.02,45.1,0.0,8.08,1011.8,Model not loaded
2026-03-04T19:38:58.074826,29.82,44.6,0.0,8.0,1011.8,Model not loaded
2026-03-04T19:39:00.076117,29.96,44.9,0.0,8.16,1011.9,Model not loaded
2026-03-04T19:39:02.078282,29.98,44.2,0.0,8.12,1011.9,Model not loaded
2026-03-04T19:39:04.080602,30.1,44.0,0.0,8.08,1012.1,Model not loaded
2026-03-04T19:39:06.082686,30.14,44.8,0.0,8.04,1012.3,Model not loaded
2026-03-04T19:39:08.085059,30.3,44.8,0.0,8.16,1012.1,Model not loaded
2026-03-04T19:39:10.087193,30.26,44.2,0.0,8.0,1011.7,Model not loaded
2026-03-04T19:39:12.089570,30.14,45.0,0.0,8.04,1012.0,Model not loaded
2026-03-04T19:39:14.091872,30.14,45.0,0.0,8.0,1011.6,Model not loaded
2026-03-04T19:39:16.093957,30.16,44.4,0.0,8.08,1011.7,Model not loaded
2026-03-04T19:39:18.096364,30.06,44.9,0.0,7.96,1011.5,Model not loaded
2026-03-04T19:39:20.097997,29.98,44.8,0.0,7.96,1012.0,Model not loaded
2026-03-04T19:39:22.100165,30.0,44.0,0.0,7.96,1011.7,Model not loaded
2026-03-04T19:39:24.103146,29.98,44.0,0.0,7.88,1012.0,Model not loaded
2026-03-04T19:39:26.105297,29.84,44.8,0.0,7.88,1011.5,Model not loaded
2026-03-04T19:39:28.108227,29.94,44.3,0.0,7.96,1012.0,Model not loaded
2026-03-04T19:39:30.109926,29.98,44.3,0.0,8.08,1011.8,Model not loaded
2026-03-04T19:39:32.112333,29.94,44.4,0.0,7.96,1012.1,Model not loaded
2026-03-04T19:39:34.114075,29.84,44.6,0.0,8.04,1012.1,Model not loaded
2026-03-04T19:39:36.116092,29.9,43.7,0.0,8.08,1012.2,Model not loaded
2026-03-04T19:39:38.119184,29.9,43.7,0.0,8.0,1012.2,Model not loaded
2026-03-04T19:39:40.120943,29.86,44.4,0.0,8.0,1011.9,Model not loaded
2026-03-04T19:39:42.123294,29.86,44.3,0.0,8.12,1012.2,Model not loaded
2026-03-04T19:39:44.124785,29.78,43.4,0.0,8.16,1012.0,Model not loaded
2026-03-04T19:39:46.126969,29.7,44.0,0.0,8.08,1012.1,Model not loaded
2026-03-04T19:39:48.129267,29.58,44.2,0.0,8.16,1012.0,Model not loaded
2026-03-04T19:39:50.131422,29.74,44.0,0.0,8.08,1012.2,Model not loaded
2026-03-04T19:39:52.133629,29.8,44.2,0.0,8.04,1012.1,Model not loaded
2026-03-04T19:39:54.135980,29.92,44.3,0.0,7.92,1012.4,Model not loaded
2026-03-04T19:39:56.138260,30.12,44.6,0.0,7.92,1012.1,Model not loaded
2026-03-04T21:33:06.027525,30.5,43.0,0.0,8.2,1013.5,Unknown
2026-03-04T21:33:07.794075,30.4,43.5,0.0,8.3,1012.25,Unknown
2026-03-04T21:33:09.796588,30.4,43.83,0.0,8.07,1012.0,Unknown
2026-03-04T21:33:11.799595,30.42,44.12,0.0,8.05,1012.25,Unknown
2026-03-04T21:33:13.800646,30.26,44.3,0.0,7.96,1012.2,Unknown
2026-03-04T21:33:15.803492,30.18,44.9,0.0,8.0,1011.6,Unknown
2026-03-04T21:33:17.806598,30.1,45.5,0.0,8.0,1011.7,Unknown
2026-03-04T21:33:19.806751,30.02,45.1,0.0,8.08,1011.8,Unknown
2026-03-04T21:33:21.809298,29.82,44.6,0.0,8.0,1011.8,Unknown
2026-03-04T21:33:23.811684,29.96,44.9,0.0,8.16,1011.9,Unknown
2026-03-04T21:33:25.813964,29.98,44.2,0.0,8.12,1011.9,Unknown
2026-03-04T21:33:27.816008,30.1,44.0,0.0,8.08,1012.1,Unknown
2026-03-04T21:33:29.819037,30.14,44.8,0.0,8.04,1012.3,Unknown
2026-03-04T21:33:31.820670,30.3,44.8,0.0,8.16,1012.1,Unknown
2026-03-04T21:33:33.822253,30.26,44.2,0.0,8.0,1011.7,Unknown
2026-03-04T21:33:35.824067,30.14,45.0,0.0,8.04,1012.0,Unknown
2026-03-04T21:33:37.827005,30.14,45.0,0.0,8.0,1011.6,Unknown
2026-03-04T21:33:39.829608,30.16,44.4,0.0,8.08,1011.7,Unknown
2026-03-04T21:33:41.830986,30.06,44.9,0.0,7.96,1011.5,Unknown
2026-03-04T21:33:43.833255,29.98,44.8,0.0,7.96,1012.0,Unknown
2026-03-04T21:33:45.835365,30.0,44.0,0.0,7.96,1011.7,Unknown
2026-03-04T21:33:47.837632,29.98,44.0,0.0,7.88,1012.0,Unknown
2026-03-04T21:33:49.839900,29.84,44.8,0.0,7.88,1011.5,Unknown
2026-03-04T21:39:10.049796,30.5,43.0,0.0,8.2,1013.5,Unknown
2026-03-04T21:39:11.787783,30.4,43.5,0.0,8.3,1012.25,Unknown
2026-03-04T21:39:13.789469,30.4,43.83,0.0,8.07,1012.0,Unknown
2026-03-04T21:39:15.793940,30.42,44.12,0.0,8.05,1012.25,Unknown
2026-03-04T21:39:17.826185,30.26,44.3,0.0,7.96,1012.2,Unknown
2026-03-04T21:39:19.795122,30.18,44.9,0.0,8.0,1011.6,Unknown
2026-03-04T21:39:21.797724,30.1,45.5,0.0,8.0,1011.7,Unknown
2026-03-04T21:39:23.800764,30.02,45.1,0.0,8.08,1011.8,Unknown
2026-03-04T21:39:25.805941,29.82,44.6,0.0,8.0,1011.8,Unknown
2026-03-04T21:39:27.801999,29.96,44.9,0.0,8.16,1011.9,Unknown
2026-03-04T21:39:29.801180,29.98,44.2,0.0,8.12,1011.9,Unknown
2026-03-04T21:39:31.805211,30.1,44.0,0.0,8.08,1012.1,Unknown
2026-03-04T21:39:33.807460,30.14,44.8,0.0,8.04,1012.3,Unknown
2026-03-04T21:39:35.808969,30.3,44.8,0.0,8.16,1012.1,Unknown
2026-03-04T21:39:37.812650,30.26,44.2,0.0,8.0,1011.7,Unknown
2026-03-04T21:39:39.814558,30.14,45.0,0.0,8.04,1012.0,Unknown
2026-03-04T21:39:41.826975,30.14,45.0,0.0,8.0,1011.6,Unknown
2026-03-04T21:39:43.823187,30.16,44.4,0.0,8.08,1011.7,Unknown
2026-03-04T21:39:45.823968,30.06,44.9,0.0,7.96,1011.5,Unknown
2026-03-04T21:39:47.935572,29.98,44.8,0.0,7.96,1012.0,Unknown
2026-03-04T21:39:49.833458,30.0,44.0,0.0,7.96,1011.7,Unknown
2026-03-04T21:39:51.835044,29.98,44.0,0.0,7.88,1012.0,Unknown
